Country,"	Date","	Conversion",Search,"	Average Time (s)","	Median Time (s)",Add,"	Average Time (s)","	Median Time (s)",Export,"	Is complete"
"	Philippines","	Jan 19",0,7,347,121,4,0,0,0,True
"	Philippines","	Jan 20",0,7,85,85,2,0,0,0,True
"	Philippines","	Jan 21",0,29,251,123,12,0,0,0,True
"	Philippines","	Jan 22",0,23,561,248,12,0,0,0,True
"	Philippines","	Jan 23",0,11,307,142,6,0,0,0,True
"	Philippines","	Jan 24",0,15,612,117,12,0,0,0,True
"	Philippines","	Jan 25",0,9,126,88,4,0,0,0,True
"	Philippines","	Jan 26",0,9,121,74,4,0,0,0,True
"	Philippines","	Jan 27",0,19,291,108,7,0,0,0,True
"	Philippines","	Jan 28",0,32,37,37,2,0,0,0,True
"	Philippines","	Jan 29",0,35,452,232,5,0,0,0,True
"	Philippines","	Jan 30",0,16,132,26,5,0,0,0,True
"	Philippines","	Jan 31",0,4,0,0,0,0,0,0,True
"	Philippines","	Feb 01",0,6,0,0,0,0,0,0,True
"	Philippines","	Feb 02",0,11,311,142,7,0,0,0,True
"	Philippines","	Feb 03",0,13,119,106,7,0,0,0,True
"	Philippines","	Feb 04",0,27,8,8,1,0,0,0,True
"	Philippines","	Feb 05",0,19,29286,29286,1,0,0,0,True
"	Philippines","	Feb 06",0,14,1321,507,4,0,0,0,True
"	Philippines","	Feb 07",0,8,167,167,1,0,0,0,True
"	Philippines","	Feb 08",0,6,86,86,2,0,0,0,True
"	Philippines","	Feb 09",0,15,208,147,3,0,0,0,True
"	Philippines","	Feb 10",0,18,908,350,6,0,0,0,True
"	Philippines","	Feb 11",0,37,14194,1394,7,0,0,0,True
"	Philippines","	Feb 12",0.038461538,26,7757,273,7,39444,39444,1,True
"	Philippines","	Feb 13",0,19,0,0,0,0,0,0,True
"	Philippines","	Feb 14",0,10,1090,105,4,0,0,0,True
"	Philippines","	Feb 15",0,6,204,57,3,0,0,0,True
"	Philippines","	Feb 16",0,19,246,141,6,0,0,0,False
"	Philippines","	Feb 17",0,16,2584,221,5,0,0,0,False
"	Philippines","	Feb 18",0.043478261,23,1580,772,7,1341,1341,1,False
"	Nigeria","	Total",0.037037037,324,1465,105,165,12093,1976,12,
"	Nigeria","	Jan 19",0,6,918,349,4,0,0,0,True
"	Nigeria","	Jan 20",0,12,7395,113,6,0,0,0,True
"	Nigeria","	Jan 21",0,20,447,35,11,0,0,0,True
"	Nigeria","	Jan 22",0,26,9450,421,8,0,0,0,True
"	Nigeria","	Jan 23",0,10,128,20,5,0,0,0,True
"	Nigeria","	Jan 24",0,5,139,106,3,0,0,0,True
"	Nigeria","	Jan 25",0,10,64,33,3,0,0,0,True
"	Nigeria","	Jan 26",0,13,748,114,5,0,0,0,True
"	Nigeria","	Jan 27",0,26,326,54,12,0,0,0,True
"	Nigeria","	Jan 28",0.214285714,14,1820,645,6,8890,889,3,True
"	Nigeria","	Jan 29",0.181818182,11,72,80,6,537,537,2,True
"	Nigeria","	Jan 30",0.066666667,15,3208,78,7,1247,1247,1,True
"	Nigeria","	Jan 31",0.066666667,15,513,53,8,824,824,1,True
"	Nigeria","	Feb 01",0.125,8,47,50,4,1510,1510,1,True
"	Nigeria","	Feb 02",0,16,1530,400,7,0,0,0,True
"	Nigeria","	Feb 03",0,16,158,69,12,0,0,0,True
"	Nigeria","	Feb 04",0,20,286,90,14,0,0,0,True
"	Nigeria","	Feb 05",0,19,2943,91,10,0,0,0,True
"	Nigeria","	Feb 06",0,17,354,221,7,0,0,0,True
"	Nigeria","	Feb 07",0,10,108,22,5,0,0,0,True
"	Nigeria","	Feb 08",0.1,10,71,78,5,2443,2443,1,True
"	Nigeria","	Feb 09",0.086956522,23,269,117,11,3891,3891,2,True
"	Nigeria","	Feb 10",0.043478261,23,5395,65,12,7517,7517,1,True
"	Nigeria","	Feb 11",0.115384615,26,3613,199,15,4020,596,3,True
"	Nigeria","	Feb 12",0.111111111,18,472,100,7,8642,8642,2,True
"	Nigeria","	Feb 13",0.060606061,33,417,52,16,5966,5966,2,True
"	Nigeria","	Feb 14",0.0625,16,173,38,9,3416,3416,1,True
"	Nigeria","	Feb 15",0,8,451,451,2,0,0,0,True
"	Nigeria","	Feb 16",0.045454545,22,66,24,7,81381,81381,1,False
"	Nigeria","	Feb 17",0.047619048,21,131,115,10,205,205,1,False
"	Nigeria","	Feb 18",0,20,1106,257,8,0,0,0,False
"	United Kingdom","	Total",0.114942529,174,1342,94,94,14015,4421,20,
"	United Kingdom","	Jan 19",0,3,32,32,1,0,0,0,True
"	United Kingdom","	Jan 20",0,8,281,281,1,0,0,0,True
"	United Kingdom","	Jan 21",0,7,512,235,4,0,0,0,True
"	United Kingdom","	Jan 22",0,6,1105,577,3,0,0,0,True
"	United Kingdom","	Jan 23",0,10,49,56,5,0,0,0,True
"	United Kingdom","	Jan 24",0,5,49,34,3,0,0,0,True
"	United Kingdom","	Jan 25",0,5,35,27,3,0,0,0,True
"	United Kingdom","	Jan 26",0.222222222,9,11549,136,7,35765,35765,2,True
"	United Kingdom","	Jan 27",0.076923077,13,471,55,6,734,734,1,True
"	United Kingdom","	Jan 28",0.142857143,14,594,121,7,27378,27378,2,True
"	United Kingdom","	Jan 29",0,9,1475,184,5,0,0,0,True
"	United Kingdom","	Jan 30",0.111111111,9,1552,505,5,2628,2628,1,True
"	United Kingdom","	Jan 31",0.2,5,137,112,3,2460,2460,1,True
"	United Kingdom","	Feb 01",0,3,83,83,1,0,0,0,True
"	United Kingdom","	Feb 02",0.142857143,14,147,87,7,4332,4332,2,True
"	United Kingdom","	Feb 03",0.222222222,9,182,34,5,41335,41335,2,True
"	United Kingdom","	Feb 04",0.142857143,7,1782,414,5,1159,1159,1,True
"	United Kingdom","	Feb 05",0.181818182,11,495,206,7,9148,9148,2,True
"	United Kingdom","	Feb 06",0.142857143,7,82,88,4,4642,4642,1,True
"	United Kingdom","	Feb 07",0,2,0,0,0,0,0,0,True
"	United Kingdom","	Feb 08",0.166666667,6,350,213,5,4175,4175,1,True
"	United Kingdom","	Feb 09",0.153846154,13,275,124,6,1211,1211,2,True
